"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"757487","JC468191","2019-10-11T02:53:00","1","DRIVERLESS",,"719529",,"VOLKSWAGEN","PASSAT","IL","2019","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","UNKNOWN/NA","true",,"0",,"CITY  OF CHICAGO",,,"true","true",,,,,,,,"true","true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757483","JC468188","2019-10-11T02:50:00","1","DRIVER",,"719524",,"CHEVROLET","MALIBU (CHEVELLE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","S","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757484","JC468188","2019-10-11T02:50:00","2","DRIVER",,"719528",,"MITSUBISHI","ECLIPSE","IL","2007","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","true",,"1",,,,,"true",,,,"true",,"true",,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757468","JC468176","2019-10-11T01:15:00","1","DRIVER","2","719513",,"HONDA","CIVIC","IL","1996","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"3",,,,,,,,,,,,,,"true","true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757469","JC468176","2019-10-11T01:15:00","2","DRIVER",,"719514",,"UNKNOWN","UNKNOWN","XX",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"true","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757477","JC468156","2019-10-11T01:05:00","1","DRIVER",,"719520",,"LINCOLN-CONTINENTAL","TOWNCAR","IL","2006","NONE","PASSENGER","PERSONAL","N","TURNING LEFT","true",,"1",,"city of chicago","5150 n simonds",,,"true",,"true",,,,,,"true",,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757629","JC468151","2019-10-11T01:05:00","1","DRIVER","2","719664",,"NISSAN","NISSAN MAXIMA","IL","2017","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","true",,"3",,"PRIVATE TOW","DNA",,"true",,,,,,,,,"false","false","true",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757630","JC468151","2019-10-11T01:05:00","2","PARKED",,"719665",,"CHEVROLET","Avalanche","IL","2005","UNKNOWN","PICKUP","UNKNOWN/NA","N","PARKED",,,"0",,,,,"true",,,,,"true","true",,,,"true","true",,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757631","JC468151","2019-10-11T01:05:00","3","PARKED",,"719666",,"NISSAN","ROGUE","IL","2019","UNKNOWN","PASSENGER","UNKNOWN/NA","N","PARKED",,,"0",,,,,,,,,"true","true","true",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757632","JC468151","2019-10-11T01:05:00","4","PARKED",,"719671",,"CHEVROLET","CAVALIER","IL","2003","NONE","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,,,,,"true",,,,,,"true",,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
